url,listed_count,lang,statuses_count,favourites_count,profile_background_image_url,profile_sidebar_fill_color,id,created_at,protected,profile_background_tile,location,profile_background_image_url_https,profile_link_color,profile_sidebar_border_color,friends_count,id_str,time_zone,has_extended_profile,followers_count,name,is_translation_enabled,profile_image_url,follow_request_sent,utc_offset,profile_image_url_https,notifications,description,withheld_in_countries,profile_background_color,is_translator,default_profile,screen_name,profile_use_background_image,default_profile_image,profile_banner_url,profile_text_color,geo_enabled,verified,translator_type,entities,contributors_enabled,following,collected_at
,34,,207394,6375,http://abs.twimg.com/images/themes/theme1/bg.png,E9F544,258567859,Mon Feb 28 00:45:52 +0000 2011,False,False,"Unbowed, unbent, unbroken.",https://abs.twimg.com/images/themes/theme1/bg.png,91D2FA,181A1E,808,258567859,,True,965,Thomas,False,http://pbs.twimg.com/profile_images/1321480336946143232/i6WSFSBc_normal.jpg,,,https://pbs.twimg.com/profile_images/1321480336946143232/i6WSFSBc_normal.jpg,,INTJ. Former Lagos boy. Fortune favors the bold. 👌🏾,,1F1A1B,False,False,Kikstiks3,True,False,https://pbs.twimg.com/profile_banners/258567859/1603073518,F51313,True,False,none,{'description': {'urls': []}},False,,Mon Nov 09 21:16:44 +0000 2020
,1,,364,3910,http://abs.twimg.com/images/themes/theme9/bg.gif,252429,20213811,Fri Feb 06 03:12:17 +0000 2009,False,False,,https://abs.twimg.com/images/themes/theme9/bg.gif,DE261F,DBDBDB,124,20213811,,False,8,brooklyn baller,False,http://pbs.twimg.com/profile_images/1084200765/2579_74155423046_582193046_2310832_1889692_n_normal.jpg,,,https://pbs.twimg.com/profile_images/1084200765/2579_74155423046_582193046_2310832_1889692_n_normal.jpg,,,,1A1B1F,False,False,brooklynballr,True,False,,666666,False,False,none,{'description': {'urls': []}},False,,Mon Nov 09 21:16:36 +0000 2020
,4,,7410,18920,http://abs.twimg.com/images/themes/theme14/bg.gif,EFEFEF,208381981,Wed Oct 27 05:06:35 +0000 2010,False,False,,https://abs.twimg.com/images/themes/theme14/bg.gif,0084B4,FFFFFF,943,208381981,,True,184,manny,False,http://pbs.twimg.com/profile_images/589729863482875905/6SxdqCRI_normal.jpg,,,https://pbs.twimg.com/profile_images/589729863482875905/6SxdqCRI_normal.jpg,,This is where my sarcasm goes. . .,,030303,False,False,iHateMannyW,False,False,https://pbs.twimg.com/profile_banners/208381981/1517513847,333333,False,False,none,{'description': {'urls': []}},False,,Mon Nov 09 21:16:36 +0000 2020
,6,,14904,8134,http://abs.twimg.com/images/themes/theme1/bg.png,DDEEF6,426043983,Thu Dec 01 19:30:46 +0000 2011,False,False,"Rennes, Laval",https://abs.twimg.com/images/themes/theme1/bg.png,1DA1F2,C0DEED,646,426043983,,True,353,Poulpe,False,http://pbs.twimg.com/profile_images/1269709465131065344/3Z1n1FC5_normal.jpg,,,https://pbs.twimg.com/profile_images/1269709465131065344/3Z1n1FC5_normal.jpg,,My Poulpe is rich,,C0DEED,False,True,mrlesavantfou,True,False,https://pbs.twimg.com/profile_banners/426043983/1577047279,333333,False,False,none,{'description': {'urls': []}},False,,Mon Nov 09 21:16:35 +0000 2020
,0,,859,272,http://abs.twimg.com/images/themes/theme14/bg.gif,EFEFEF,17796656,Tue Dec 02 02:19:25 +0000 2008,False,True,"Québec, Canada",https://abs.twimg.com/images/themes/theme14/bg.gif,009999,EEEEEE,339,17796656,,False,36,paul_andre,False,http://pbs.twimg.com/profile_images/1141883831357775872/PWTjNEYI_normal.jpg,,,https://pbs.twimg.com/profile_images/1141883831357775872/PWTjNEYI_normal.jpg,,"Who dat? Who dat? Who dat say dey gonna beat dem Saints?""⚜️",,131516,False,False,paul_andre,True,False,https://pbs.twimg.com/profile_banners/17796656/1547410500,333333,False,False,none,{'description': {'urls': []}},False,,Mon Nov 09 21:16:31 +0000 2020
,17,,7099,23338,http://abs.twimg.com/images/themes/theme1/bg.png,FD6F3A,16065565,Sun Aug 31 11:44:56 +0000 2008,False,True,Germany,https://abs.twimg.com/images/themes/theme1/bg.png,6B1500,FFFFFF,70,16065565,,False,60,Sascha,False,http://pbs.twimg.com/profile_images/422833107520466944/4jcGgxsL_normal.png,,,https://pbs.twimg.com/profile_images/422833107520466944/4jcGgxsL_normal.png,,/* no comment */,,1F0903,False,False,sashw89,True,False,https://pbs.twimg.com/profile_banners/16065565/1396299627,100F0F,False,False,none,{'description': {'urls': []}},False,,Mon Nov 09 21:16:25 +0000 2020
,0,,227,16,http://abs.twimg.com/images/themes/theme10/bg.gif,7AC3EE,708617370,Sat Jul 21 08:14:36 +0000 2012,False,True,,https://abs.twimg.com/images/themes/theme10/bg.gif,FF0000,65B0DA,165,708617370,,False,17,sonyoretabosy19,False,http://pbs.twimg.com/profile_images/378800000329546260/e69335d99660415e733d9b2ff6ae841c_normal.jpeg,,,https://pbs.twimg.com/profile_images/378800000329546260/e69335d99660415e733d9b2ff6ae841c_normal.jpeg,,,,642D8B,False,False,sonyoretabosy19,True,False,,3D1957,True,False,none,{'description': {'urls': []}},False,,Mon Nov 09 21:16:01 +0000 2020
,1,,16925,3844,http://abs.twimg.com/images/themes/theme1/bg.png,DDEEF6,1360355600,Wed Apr 17 20:58:59 +0000 2013,False,False,,https://abs.twimg.com/images/themes/theme1/bg.png,1DA1F2,C0DEED,227,1360355600,,False,135,ruth maria,False,http://pbs.twimg.com/profile_images/819577615963004928/6cUpjgb3_normal.jpg,,,https://pbs.twimg.com/profile_images/819577615963004928/6cUpjgb3_normal.jpg,,El EXITO es de ir de fracaso en fracaso sin perder el entusiasmo,,C0DEED,False,True,ruthdurazno,True,False,https://pbs.twimg.com/profile_banners/1360355600/1397245373,333333,False,False,none,{'description': {'urls': []}},False,,Mon Nov 09 21:15:36 +0000 2020
,0,,5469,6517,http://abs.twimg.com/images/themes/theme1/bg.png,DDEEF6,233259240,Sun Jan 02 19:25:25 +0000 2011,False,False,Vigo,https://abs.twimg.com/images/themes/theme1/bg.png,0084B4,C0DEED,699,233259240,,False,80,Demian Krendešić,False,http://pbs.twimg.com/profile_images/503252795773169665/OGDZnrlY_normal.jpeg,,,https://pbs.twimg.com/profile_images/503252795773169665/OGDZnrlY_normal.jpeg,,Variedades,,C0DEED,False,False,abudendre,True,False,https://pbs.twimg.com/profile_banners/233259240/1378118614,333333,True,False,none,{'description': {'urls': []}},False,,Mon Nov 09 21:15:05 +0000 2020
,27,,27063,31425,http://abs.twimg.com/images/themes/theme1/bg.png,DDEEF6,186388664,Fri Sep 03 09:51:31 +0000 2010,False,False,,https://abs.twimg.com/images/themes/theme1/bg.png,1DA1F2,C0DEED,1050,186388664,,False,1020,Ali Mullaley,False,http://pbs.twimg.com/profile_images/1296071572244045829/j36TQD2V_normal.jpg,,,https://pbs.twimg.com/profile_images/1296071572244045829/j36TQD2V_normal.jpg,,Mother of 2. Backwards counter in TV land. ⏱ Fly with Ealing Eagles. 🦅 I tweet mostly about the mighty Brentford FC. 🐝 All views my own.,,C0DEED,False,True,alimullaley,True,False,https://pbs.twimg.com/profile_banners/186388664/1600345302,333333,True,False,none,{'description': {'urls': []}},False,,Mon Nov 09 21:15:04 +0000 2020
https://t.co/NBGeIq097m,12,,1372,1115,http://abs.twimg.com/images/themes/theme1/bg.png,000000,3202189312,Fri Apr 24 19:48:47 +0000 2015,False,False,"Baton Rouge, LA",https://abs.twimg.com/images/themes/theme1/bg.png,FFCC4D,000000,2774,3202189312,,False,2569,LSU Sociology,False,http://pbs.twimg.com/profile_images/1100498797833191435/f3XmPZm0_normal.png,,,https://pbs.twimg.com/profile_images/1100498797833191435/f3XmPZm0_normal.png,,Official twitter account for the Department of Sociology @LSU. Tweets and Likes ≠ a view of the department or university. Retweets and Follows ≠ Endorsements.,,000000,False,False,LsuSoc,False,False,https://pbs.twimg.com/profile_banners/3202189312/1588278505,000000,True,False,none,"{'url': {'urls': [{'url': 'https://t.co/NBGeIq097m', 'expanded_url': 'http://www.lsu.edu/hss/sociology/', 'display_url': 'lsu.edu/hss/sociology/', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,,Mon Nov 09 21:14:54 +0000 2020
